timestamp,timestamp_iso,dpid,port,role,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,byte_delta,packet_delta,drop_delta,throughput_bps,port_bw_mbps,load,loss
1780246016.8085535,2026-06-01T00:46:56,6,1,teaching_ap,745882904,418723,493965,898,0,0,0,0,0,0.0,100,0.0,0.0
1780246016.8957186,2026-06-01T00:46:56,5,1,teaching_ap,454156,753464926,1376,498524,0,0,0,0,0,0.0,100,0.0,0.0
1780246016.905886,2026-06-01T00:46:56,14,1,data_access,50565,5508,623,54,0,0,0,0,0,0.0,1000,0.0,0.0
1780246016.9135365,2026-06-01T00:46:56,12,1,dorm_ap,49195,6444,604,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246016.9217114,2026-06-01T00:46:56,7,1,teaching_ap,49579,5743,612,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246016.9313824,2026-06-01T00:46:56,15,1,data_access,50495,5578,622,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246016.9402533,2026-06-01T00:46:56,10,1,dorm_ap,775599574,438551,513615,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246016.9477181,2026-06-01T00:46:56,13,1,data_access,50016,6035,616,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246016.9592762,2026-06-01T00:46:56,8,1,teaching_ap,49170,6304,603,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246016.9879239,2026-06-01T00:46:56,11,1,dorm_ap,49537,6208,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246017.0145125,2026-06-01T00:46:57,16,1,data_access,50738,5018,626,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246017.0413811,2026-06-01T00:46:57,9,1,dorm_ap,476029,783503668,1411,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246026.816017,2026-06-01T00:47:06,6,1,teaching_ap,745882904,418723,493965,898,0,0,0,0,0,0.0,100,0.0,0.0
1780246026.836032,2026-06-01T00:47:06,10,1,dorm_ap,775599574,438551,513615,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246026.8593385,2026-06-01T00:47:06,8,1,teaching_ap,49170,6304,603,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246026.8960161,2026-06-01T00:47:06,14,1,data_access,50565,5508,623,54,0,0,0,0,0,0.0,1000,0.0,0.0
1780246026.9317846,2026-06-01T00:47:06,13,1,data_access,50016,6035,616,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246026.9628818,2026-06-01T00:47:06,11,1,dorm_ap,49537,6208,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246027.0016246,2026-06-01T00:47:07,12,1,dorm_ap,49195,6444,604,66,0,0,0,0,0,0.0,100,0.0,0.0
1780246027.0379922,2026-06-01T00:47:07,16,1,data_access,50738,5018,626,47,0,0,0,0,0,0.0,1000,0.0,0.0
